title,company,location,link
AI/빅데이터/클라우드 분야 (인재 Pool),"
LG유플러스",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb617eeb80ea6fa9&tk
"Senior Staff Engineer, FAE Samsung","
ams",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f8fcba2c93fcc52a&tk
PMIC S/W APPS Engineering – Senior to Staff,"
Qualcomm CDMA Technologies (Korea) YH",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=01cdfff2d55c2fa5&tk
Security Engineer (보안 엔지니어),"
Toss",서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb6bafb5ae960c4e&tk
신입 펌웨어 개발자,"
와이제이테크놀로지",경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=87a30e8ffe892875&tk
2020년 하반기 하드웨어·소프트웨어 경력무관,"
메디칼이노베이션디벨로퍼",부산 해운대구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=efa15b7dcef3a855&tk
SW개발자 0명 자동화 산업장비 제조업,"
자동화 산업장비 제조업",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=80e215cfdccb251c&tk
Deep Learning R&D Engineer,"
Intel",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=58613b11ebe8779c&tk
"금융 데이터 분석 엔진, 로보어드바이저 개발자","
에스비씨엔",서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=649ccf047c868778&tk
TOAST CAM 임베디드 개발,"
NHN",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1a75ce748c5f24e9&tk
FPGA 플랫폼 엔지니어(딥러닝 하드웨어 프로세서 개발),"
딥엑스",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=00a89d974a463f1f&tk
"Analog Design Engr, Sr II","
Synopsys",경기도 성남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2bf26529770cdc22&tk
"데이터 가치 함께 발굴하실 머신러닝, 통계 모델링 전문가","
카카오",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d1e75364ef505c68&tk
추천 시스템 연구/개발,"
카카오",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=be6c1f03fa566f8e&tk
Internal Infra Engineer,"
Toss",서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=741cc6ac364ea9be&tk
MySQL Engineer,"
카카오",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=dd06066d79860614&tk
데이터 분석 전문가 모집,"
엔씨소프트",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=58047cbc4fa71e31&tk
